"no,""name"",""unit"""
"15.4,""6000X4000 Sliding Door steel door"",""no."""
"15.5,""2000x2500 double wing  aluminum entrance door"",""no."""
"15.6,""800x2000 Compacted Laminate Door for lavatories"",""no."""
"15.7,""1000x2200 Wooden internal door"",""no."""
"15.8,""1000x2250 Aluminum Door"",""no."""
"15.9,""2000X2500 Aluminum double wing door"",""no."""
"16.1,""PVC Window double glazed"",""m2"""
"16.2,""Aluminum Window double glazed"",""m2"""
"16.3,""Aluminum Louver"",""m2"""
"17.1,""Insulation belowground concrete surface (Sika® Igolflex203 or equivalent according to data sheet)) including test and protection(pe sheet)- concrete surface will be calculated.(double coat)"",""m2"""
"17.2,""Insulation belowground concrete surface- Double layer membrane(4mm+4mm) including test and protection(screed-sand-board etc)-concrete surface will be measured."",""m2"""
"17.3,""Insulation belowground concrete surface- Double layer membrane(4mm+4mm) including test- pond concrete surface will be measured."",""m2"""
"17.4,""Pe sheet (500 micron)for  below slabs - concrete surface"",""m2"""
"18.1,""Site Internal Fence without Barbed Wires H=2m.including all civil works."",""m"""
"18.2,""Site Internal Fence door without Barbed Wires H=2m.. Door 2x4m  including all civil works."",""no."""
"18.3,""Site Internal Fence door without Barbed Wires H=2m.. Door 2x1,2m  including all civil works."",""no."""
"18.4,""Site External Fence with 3 rows Barbed Wires H=2 m including all civil works."",""m"""
"18.5,""Site External Fence Entrance Door 2x1,2m with barbed wire including all civil works."",""no."""
"18.6,""Site External Fence Entrance Door 2x6m with barbed wire including all civil works."",""no."""
"18.7,""Boundary Wall with Wrought Iron Fence. H:2.30 including all civil works."",""m"""
"19.1,""Ø100 UPVC Rainwater Down Pipe with all accessories"",""m"""
"19.2,""Ø150 UPVC Rainwater Down Pipe with all accessories"",""m"""
"19.3,""Ø200 UPVC Rainwater Down Pipe with all accessories"",""m"""
"19.4,""Galvanized steel gutter (t=3mm)"",""m"""
"20.1,""HDPE Corrugated Pipes Ø100 "",""m"""
"20.2,""HDPE corrugated Pipes Ø150 "",""m"""
"20.3,""HDPE corrugated Pipes Ø200 "",""m"""
"20.4,""HDPE corrugated Pipes Ø250 "",""m"""
"20.5,""HDPE corrugated Pipes Ø300 "",""m"""
"20.6,""HDPE corrugated Pipes Ø400 "",""m"""
"20.7,""PVC Pipe for Electrical Conduits Ø200 "",""m"""
"20.8,""PC Concrete Pipe Ø300 "",""m"""
"20.9,""PC Concrete Pipe Ø600 "",""m"""
"20.10,""PC Concrete Pipe Ø900 "",""m"""
"20.11,""0,8mx0,8m(internal size) 0,5m to 1 m depth(ground to invert level) catch basin with cast iron grating(30mm thick), including all works (formwork, concrete, steel, cover, sealing works etc.)"",""no."""
"20.12,""1,2mx1,2m(internal size) 1m to 2,0m depth (ground to invert level) catch basin with cast iron grating(30mm thick), including all works (formwork, concrete, steel, cover, sealing works etc.)"",""no."""
"20.13,""1mx1 m(internal size)   0,5m to 1,0m depth(ground to invert level) storm/sewage pit with cast iron manhole cover .including all works (formwork, concrete, steel, cover(d400), sealing works etc.)"",""no."""
"20.14,""1,2mx1,2 m(internal size) 1m to 2m depth (ground to invert level) storm/sewage pit with cast iron  manhole cover .including all works (formwork, concrete, steel, cover(d400), sealing works etc.)"",""no."""
"20.15,""1,5mx1,5 m(internal size) 2m to 3m depth(ground to invert level) storm/sewage pit with cast iron  manhole cover including all works (formwork, concrete, steel, cover(d400), sealing works etc.)"",""no."""
"20.16,""0,8mx0,8m(internal size) 0,5m to 1 m depth(ground to invert level) potable water valve pit  with chequered plate cover, including all works (formwork, concrete, steel, cover, sealing works etc.)"",""no."""
"20.17,""1,2mx1,2m(internal size) 1,2m depth(ground to invert level) fire water valve pit  with chequered plate cover, including all works (formwork, concrete, steel,  cover, sealing works etc.)"",""no."""
"20.18,""1,5mx1,5m(internal size) 1,5m depth electrical pit  with concrete  cover, including all works (formwork, concrete, steel, sealing, works etc.)"",""no."""
"21-Jan,""Building Furniture & Equipment"",""m2"""
"21-Jan,""Walkable Roof Insulation (inculiding heat and water insulation -screed,membrane, insulation material, gravel etc.)"",""m2"""
"21-Jan,""Sanitary Installation"",""set"""
"21-Jan,""Room Designation signs 260 x 100 x 4 aluminum"",""no."""
"21-Jan,""Water Stop at Construction & Expansion Joints"",""m"""
"21-Jan,""Concrete Road (incl. 300 mm excavation, 300 mm filling with imported material, 2 layers of PE sheet, 200 mm C25/30 concrete, 2 layers of Q188x188 wire mesh, formwork. Excluding joints, kerb and marking)"",""m2"""
"21-Jan,""Asphalt Road (incl. 250 mm subbase, 200 mm base,  100 mm bitumen layer, 60 mm binder and 50 mm wearing)"",""m2"""
"21-Jan,""Joint cutting & sealing(including back-up rods)"",""m"""
"21-Jan,""Road Protection (Barrier, rail etc.)"",""m"""
"21-Jan,""Road Marking"",""m2"""
"21-Jan,""Kerbstone (15x30 cm)"",""m"""
"21-Jan,""Landscaping"",""m2"""
"21-Jan,""Green Planted area (only grass including sprinler watering system)"",""m2"""
"21-Jan,""Demolition"",""m3"""
"21-Jan,""Railroad"",""m"""
"21-Jan,""Container"",""set"""
